Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,"3,887",Super Lantern 8s,Ainsworth,Slot,"June, 2021",8,$3.36,$1.79,0.01,0.0,0.02,0.02,0.00%
,,"3,888",Dr Wildshock Mad Loot Lab,Games Global,Slot,"March, 2022",8,$2.71,$2.55,0.01,0.0,0.02,0.02,0.00%
,,"3,889",Road To Riches Gold Pots Mega Drop,Light & Wonder,Slot,"September, 2021",14,$1.27,$0.96,0.05,0.0,0.02,0.02,0.00%
,,"3,890",Temujin Treasures,Bragg Gaming Group,Slot,"October, 2024",16,$2.32,$1.89,0.02,0.0,0.02,0.02,0.00%
,,"3,891",Ultra Blitz Chilli El Toro,Greentube,Slot,"June, 2025",8,$1.07,$1.11,0.04,0.0,0.02,0.02,0.00%
,,"3,892",Usa Flip,Play N Go,Slot,"April, 2023",20,$1.14,$0.98,0.04,0.0,0.02,0.02,0.00%
,,"3,893",Invading Vegas,Play N Go,Slot,"April, 2023",19,$1.00,$0.77,0.07,0.0,0.02,0.02,0.00%
,,"3,894",Frog Of Riches,Aristocrat,Slot,"November, 2023",4,$1.09,$1.00,0.03,0.0,0.02,0.02,0.00%
,,"3,895",Age Of The Gods,Playtech,Slot,"June, 2024",9,$0.88,$0.69,0.03,0.0,0.02,0.02,0.00%
,,"3,896",Wild Survivor,Play N Go,Slot,"August, 2024",18,$0.90,$0.74,0.04,0.0,0.02,0.02,0.00%
,,"3,897",Star Supreme,Greentube,Slot,"December, 2021",6,$1.26,$1.21,0.02,0.0,0.02,0.02,0.00%
,,"3,898",Knights Of The Secret Sword,Internal,Slot,"April, 2021",4,$1.52,$1.53,0.06,0.0,0.02,0.02,0.00%
,,"3,899",Ultra Stack Lion,Aruze,Slot,"June, 2021",6,$1.86,$1.29,0.04,0.0,0.02,0.02,0.00%
,,"3,900",Stumpy Mcdoodles,Games Global,Slot,"March, 2023",6,$1.40,$1.08,0.01,0.0,0.02,0.02,0.00%
,,"3,901",Hades Lost Treasures,Games Global,Slot,"May, 2024",7,$0.93,$1.00,0.03,0.0,0.02,0.02,0.00%
,,"3,902",Bee Frenzy Thundershots,Playtech,Slot,"August, 2023",3,$0.97,$0.93,0.05,0.0,0.02,0.02,0.00%
,,"3,903",Orca Magic,Ainsworth,Slot,"August, 2021",5,$2.66,$2.01,0.01,0.0,0.02,0.02,0.00%
,,"3,904",Color Cubes,Igt,Instant Win,"March, 2021",5,$2.25,$2.54,0.01,0.0,0.02,0.04,0.00%
,,"3,905",Mei Fortunes,Design Works Gaming,Slot,"April, 2025",19,$1.29,$0.90,0.02,0.0,0.02,0.02,0.00%
,,"3,906",American Roulette With Rachael,Games Global,Table Game,"June, 2025",2,$4.89,$4.89,0.01,0.0,0.02,0.01,0.00%
,,"3,907",Wrigleys World,Evolution,Slot,"November, 2023",21,$0.88,$0.66,0.04,0.0,0.02,0.02,0.00%
,,"3,908",Stellar Joker,Greentube,Slot,"April, 2024",5,$0.76,$0.61,0.05,0.0,0.02,0.02,0.00%
,,"3,909",Lotto Madness,Playtech,Slot,"January, 2022",6,$4.99,$1.72,0.02,0.0,0.02,0.02,0.00%
,,"3,910",Legend Of Fortune,Light & Wonder,Slot,"March, 2021",6,$1.41,$1.37,0.03,0.0,0.02,0.02,0.00%
,,"3,911",The Ankh Protector,Spinomenal,Slot,"April, 2025",2,$40.24,$40.24,0.01,0.0,0.02,0.02,0.00%
,,"3,912",William Tell And The Wild Arrows Hold And Win,Igt,Slot,"January, 2024",9,$0.94,$0.60,0.04,0.0,0.02,0.02,0.00%
,,"3,913",Extreme Kylin,Aruze,Slot,"January, 2023",4,$0.64,$0.65,0.19,0.0,0.02,0.02,0.00%
,,"3,914",Rome The Golden Age,Evolution,Slot,"June, 2021",5,$0.49,$0.47,0.10,0.0,0.02,0.02,0.00%
,,"3,915",Riddle Of Riches Mystery Cruise,High 5 Games,Slot,"July, 2024",18,$1.60,$1.21,0.02,0.0,0.02,0.02,0.00%
,,"3,916",Reel Linking,Inspired,Slot,"April, 2022",10,$0.85,$0.81,0.06,0.0,0.02,0.02,0.00%
,,"3,917",Stunt Stars,Light & Wonder,Slot,"June, 2023",11,$0.85,$0.73,0.05,0.0,0.02,0.02,0.00%
,,"3,918",Ferris Wheel Fortunes,High 5 Games,Slot,"October, 2023",13,$1.56,$1.24,0.03,0.0,0.02,0.02,0.00%
,,"3,919",Thief Of Lightnings,Oddsworks,Slot,"June, 2025",17,$1.25,$1.18,0.03,0.0,0.02,0.02,0.00%
,,"3,920",Mystery Jack Deluxe,Wazdan,Slot,"June, 2023",7,$0.77,$0.79,0.08,0.0,0.02,0.02,0.00%
,,"3,921",Gladiator Clash,Evolution,Slot,"January, 2025",19,$1.60,$1.42,0.03,0.0,0.02,0.02,0.00%
,,"3,922",Marias Marigolds,Igt,Slot,"September, 2023",16,$0.99,$0.92,0.03,0.0,0.02,0.02,0.00%
,,"3,923",Happy Apples,Evolution,Slot,"January, 2024",12,$1.03,$0.71,0.11,0.0,0.02,0.02,0.00%
,,"3,924",Rockets Red Glare,Light & Wonder,Slot,"June, 2025",29,$1.08,$0.89,0.03,0.0,0.02,0.02,0.00%
,,"3,925",Top 3 21 + 3 Classic,Bragg Gaming Group,Table Game,"May, 2022",4,$38.19,$15.21,0.01,0.1,0.02,0.01,0.00%
,,"3,926",Fruit Combinator,Reel Play,Slot,"April, 2024",25,$0.93,$0.80,0.03,0.0,0.02,0.02,0.00%
,,"3,927",Golden Knight Ii,High 5 Games,Slot,"March, 2021",5,$1.86,$1.25,0.05,0.0,0.02,0.02,0.00%
,,"3,928",Around The Reels In 80 Wilds,Aristocrat,Slot,"May, 2024",5,$1.90,$1.43,0.03,0.0,0.02,0.02,0.00%
,,"3,929",Secrets Of The Gods Hold And Gold,Aristocrat,Slot,"August, 2024",2,$1.21,$1.21,0.04,0.0,0.02,0.02,0.00%
,,"3,930",Sirens Cove,High 5 Games,Slot,"February, 2022",8,$0.70,$0.65,0.11,0.0,0.02,0.02,0.00%
,,"3,931",Wonders Of Africa,Design Works Gaming,Slot,"November, 2021",4,$0.76,$0.84,0.07,0.0,0.02,0.02,0.00%
,,"3,932",Fruit Flash,Evolution,Slot,"August, 2024",23,$0.91,$0.77,0.03,0.0,0.02,0.02,0.00%
,,"3,933",Crystal Hall,Play N Go,Slot,"January, 2025",21,$1.10,$0.88,0.04,0.0,0.02,0.02,0.00%
,,"3,934",Maximus Payus,Inspired,Slot,"March, 2021",7,$1.36,$0.94,0.05,0.0,0.02,0.02,0.00%
,,"3,935",Yukon Gold,Crucible Gaming,Slot,"December, 2024",12,$2.02,$1.77,0.02,0.0,0.02,0.02,0.00%
,,"3,936",Surtrs Fury,Aristocrat,Slot,"April, 2025",2,$0.74,$0.74,0.05,0.0,0.02,0.02,0.00%
,,"3,937",Myth Of Dead,Play N Go,Slot,"December, 2024",19,$1.08,$0.85,0.04,0.0,0.02,0.02,0.00%
,,"3,938",Casino Win Spin,Evolution,Slot,"October, 2024",18,$0.82,$0.78,0.03,0.0,0.02,0.02,0.00%
,,"3,939",The Enforcer,Ainsworth,Slot,"June, 2021",3,$2.19,$1.89,0.02,0.0,0.02,0.02,0.00%
,,"3,940",Seven And Suns,Bragg Gaming Group,Slot,"January, 2025",5,$1.15,$1.10,0.02,0.0,0.02,0.02,0.00%
,,"3,941",Mighty Marlin Super Reel,Bragg Gaming Group,Instant Win,"June, 2024",5,$2.88,$1.22,0.01,0.0,0.02,0.03,0.00%
,,"3,942",Spin Again 7s,High 5 Games,Slot,"January, 2023",15,$1.09,$0.86,0.04,0.0,0.02,0.02,0.00%
,,"3,943",Agent Blitz Mission Moneymaker,Games Global,Slot,"April, 2023",12,$1.24,$1.01,0.02,0.0,0.02,0.02,0.00%
,,"3,944",Shimmering 7s Revolution,Light & Wonder,Slot,"April, 2024",8,$0.97,$1.08,0.04,0.0,0.02,0.02,0.00%
,,"3,945",First Person Super Sic Bo,Evolution,Table Game,"January, 2024",12,$9.57,$4.55,0.01,0.0,0.02,0.01,0.00%
,,"3,946",Jinse Dao Tiger,Light & Wonder,Slot,"February, 2023",18,$0.69,$0.46,0.12,0.0,0.02,0.02,0.00%
,,"3,947",Super Sake,Bragg Gaming Group,Slot,"February, 2025",8,$3.06,$2.24,0.02,0.0,0.02,0.02,0.00%
,,"3,948",Magic Lab,Evolution,Slot,"September, 2024",12,$1.70,$1.08,0.02,0.0,0.02,0.02,0.00%
,,"3,949",Top Of The Money Pots Of Wealth,Greentube,Slot,"March, 2022",14,$1.04,$0.78,0.03,0.0,0.02,0.02,0.00%
,,"3,950",Dragons Blessings,High 5 Games,Slot,"January, 2023",12,$1.40,$1.12,0.04,0.0,0.02,0.02,0.00%
,,"3,951",Fire Chariot,King Show Games,Slot,"February, 2025",8,$1.01,$0.97,0.04,0.0,0.02,0.02,0.00%
,,"3,952",Scratch Card Pots O Luck,Oddsworks,Lottery,"June, 2023",2,$3.41,$3.41,0.01,0.0,0.02,0.01,0.00%
,,"3,953",King Of Babylon Action Spins,Light & Wonder,Slot,"March, 2021",7,$2.10,$1.26,0.02,0.0,0.02,0.02,0.00%
,,"3,954",Humpty Dumpty Wild Riches,Oddsworks,Slot,"August, 2022",16,$1.19,$1.07,0.02,0.0,0.02,0.02,0.00%
,,"3,955",King Of Babylon,Light & Wonder,Slot,"March, 2021",8,$1.61,$1.39,0.03,0.0,0.02,0.02,0.00%
,,"3,956",Mustang Dreaming,Greentube,Slot,"July, 2024",10,$1.42,$1.08,0.03,0.0,0.02,0.02,0.00%
,,"3,957",Ultimate Heist,High 5 Games,Slot,"February, 2023",10,$1.11,$1.10,0.03,0.0,0.02,0.02,0.00%
,,"3,958",King Of The Pharaohs,King Show Games,Slot,"March, 2024",11,$1.04,$0.98,0.03,0.0,0.02,0.02,0.00%
,,"3,959",Lucky Bill,Skillzz Gaming,Slot,"March, 2023",3,$2.21,$1.03,0.02,0.0,0.02,0.02,0.00%
,,"3,960",The Fun Hell,Spearhead Studios,Slot,"August, 2024",6,$1.93,$1.73,0.02,0.0,0.02,0.02,0.00%
,,"3,961",Himalayas Roof Of The World,Light & Wonder,Slot,"March, 2021",7,$6.60,$2.58,0.01,0.0,0.02,0.02,0.00%
,,"3,962",Boat Bonanza Christmas,Play N Go,Slot,"July, 2025",3,$0.83,$0.79,0.05,0.0,0.02,0.02,0.00%
,,"3,963",Telly Reels,Wazdan,Slot,"June, 2023",6,$0.80,$0.82,0.07,0.0,0.02,0.02,0.00%
,,"3,964",Immortal Pyramid,Boom Entertainment,Instant Win,"June, 2023",12,$1.26,$0.85,0.03,0.0,0.02,0.03,0.00%
,,"3,965",Cash Up,Oddsworks,Slot,"June, 2024",11,$1.29,$0.75,0.05,0.0,0.02,0.02,0.00%
,,"3,966",1st Down Slot,Inspired,Slot,"March, 2021",6,$2.16,$2.45,0.04,0.0,0.02,0.02,0.00%
,,"3,967",8 Wealthy Lions,Aruze,Slot,"March, 2022",7,$0.91,$0.84,0.05,0.0,0.02,0.02,0.00%
,,"3,968",Lady Of Fortune,Play N Go,Slot,"February, 2023",7,$6.14,$1.65,0.02,0.0,0.02,0.02,0.00%
,,"3,969",Win A Beest,Play N Go,Slot,"November, 2022",12,$1.01,$0.73,0.04,0.0,0.02,0.02,0.00%
,,"3,970",Bookie Of Odds,Games Global,Slot,"August, 2021",7,$0.80,$0.89,0.08,0.0,0.02,0.02,0.00%
,,"3,971",Sky Dragons,Incredible Technologies,Slot,"June, 2021",13,$1.58,$1.58,0.02,0.0,0.02,0.02,0.00%
,,"3,972",Ticket To Riches,Games Global,Slot,"June, 2023",6,$2.49,$1.39,0.01,0.0,0.02,0.02,0.00%
,,"3,973",Ice Ice Hockey,Aristocrat,Slot,"February, 2023",14,$2.24,$1.25,0.02,0.0,0.02,0.02,0.00%
,,"3,974",Mystery Mine,Bragg Gaming Group,Slot,"August, 2023",13,$1.62,$1.44,0.02,0.0,0.02,0.02,0.00%
,,"3,975",Tomb Of Nefertiti,Evolution,Slot,"August, 2024",22,$1.05,$0.91,0.04,0.0,0.02,0.02,0.00%
,,"3,976",King Maker Megaways,Evolution,Slot,"March, 2021",3,$0.79,$0.41,0.03,0.0,0.02,0.02,0.00%
,,"3,977",Shields Of The Wild,Light & Wonder,Slot,"March, 2021",8,$2.44,$1.20,0.02,0.0,0.02,0.02,0.00%
,,"3,978",Beach Invaders,Evolution,Slot,"January, 2024",17,$1.20,$0.96,0.04,0.0,0.02,0.02,0.00%
,,"3,979",Twice The Money,Ainsworth,Slot,"March, 2021",8,$1.20,$1.23,0.02,0.0,0.02,0.02,0.00%
,,"3,980",Scudamore Super Stakes,Evolution,Slot,"March, 2021",4,$0.78,$0.62,0.11,0.0,0.02,0.02,0.00%
,,"3,981",Get Hot,Bragg Gaming Group,Slot,"September, 2021",13,$1.37,$1.21,0.02,0.0,0.02,0.02,0.00%
,,"3,982",Wings Of The Phoenix,Konami,Slot,"March, 2021",5,$1.60,$1.61,0.03,0.0,0.02,0.02,0.00%
,,"3,983",Silver Trails,Greentube,Slot,"January, 2022",10,$1.26,$1.32,0.03,0.0,0.02,0.02,0.00%
,,"3,984",Coins Of Fortune,Evolution,Slot,"January, 2025",18,$1.40,$1.00,0.03,0.0,0.02,0.02,0.00%
,,"3,985",Wild Ranger,Greentube,Slot,"March, 2023",8,$1.13,$1.10,0.02,0.0,0.02,0.02,0.00%
,,"3,986",Gonzos Gold,Evolution,Slot,"March, 2023",10,$1.14,$0.85,0.03,0.0,0.02,0.02,0.00%
,,"3,987",Legacy Of The Nile,High 5 Games,Slot,"June, 2023",3,$2.66,$0.80,0.02,0.0,0.02,0.02,0.00%
,,"3,988",3 Clown Monty 2,Play N Go,Slot,"May, 2024",3,$0.87,$0.78,0.03,0.0,0.02,0.02,0.00%
,,"3,989",Whos The Bride,Evolution,Slot,"June, 2024",16,$1.63,$0.58,0.04,0.0,0.02,0.02,0.00%
,,"3,990",Ark Of Ra,Games Global,Slot,"September, 2022",5,$1.14,$0.70,0.04,0.0,0.02,0.02,0.00%
,,"3,991",Sapphire Tiger,High 5 Games,Slot,"August, 2021",2,$1.44,$1.44,0.04,0.0,0.02,0.02,0.00%
,,"3,992",Wilds Of Wall Street 2,Spearhead Studios,Slot,"December, 2022",5,$4.53,$1.38,0.01,0.0,0.02,0.02,0.00%
,,"3,993",The Sword And The Grail Excalibur,Play N Go,Slot,"July, 2024",12,$1.75,$0.71,0.02,0.0,0.02,0.02,0.00%
,,"3,994",Rampaging Bull,Ainsworth,Slot,"November, 2022",3,$1.33,$1.47,0.03,0.0,0.02,0.02,0.00%
,,"3,995",Queen Of Egypt Exotic Wilds,Spearhead Studios,Slot,"February, 2023",11,$2.33,$0.97,0.02,0.0,0.02,0.02,0.00%
,,"3,996",Cosmic Jewels,High 5 Games,Slot,"March, 2021",3,$1.08,$1.05,0.04,0.0,0.02,0.02,0.00%
,,"3,997",Zombies Payday,Betixon,Slot,"June, 2025",2,$1.43,$1.43,0.02,0.0,0.02,0.02,0.00%
,,"3,998",Monopoly Grand Hotel,Light & Wonder,Slot,"March, 2021",4,$1.54,$1.69,0.02,0.0,0.02,0.02,0.00%
,,"3,999",Fortune Rush,Games Global,Slot,"January, 2022",8,$1.15,$0.99,0.01,0.0,0.02,0.02,0.00%
,,"4,000",5 Wild Reindeers,Spinberry,Slot,"December, 2023",7,$1.47,$1.31,0.02,0.0,0.02,0.02,0.00%
,,"4,001",Colossal Splash Ink And Win,Light & Wonder,Slot,"February, 2025",17,$1.24,$0.87,0.03,0.0,0.02,0.02,0.00%
,,"4,002",Road To Riches Twilight Dream,Light & Wonder,Slot,"May, 2021",3,$1.48,$1.64,0.01,0.0,0.02,0.02,0.00%
,,"4,003",Lucky Streak,Evolution,Slot,"May, 2021",21,$1.62,$1.05,0.02,0.0,0.02,0.02,0.00%
,,"4,004",Ocean Kings,Spinberry,Slot,"June, 2025",8,$1.20,$1.06,0.03,0.0,0.02,0.02,0.00%
,,"4,005",Waikiki Hold And Win,1x2 Network,Slot,"November, 2024",5,$0.80,$0.68,0.04,0.0,0.02,0.02,0.00%
,,"4,006",Midnight In Tokyo,Wazdan,Slot,"June, 2023",8,$1.44,$1.51,0.03,0.0,0.02,0.02,0.00%
,,"4,007",Count Jokula,Play N Go,Slot,"July, 2023",8,$1.48,$0.90,0.02,0.0,0.02,0.02,0.00%
,,"4,008",Foxin Wins Football Fever,Light & Wonder,Slot,"March, 2021",4,$1.10,$0.82,0.05,0.0,0.02,0.02,0.00%
,,"4,009",Wilderland,Evolution,Slot,"March, 2021",6,$3.23,$1.15,0.03,0.0,0.02,0.02,0.00%
,,"4,010",Cakes Of Fortune,Aristocrat,Slot,"September, 2024",7,$1.67,$0.89,0.02,0.0,0.02,0.02,0.00%
,,"4,011",Robin Hoods Wild Forest,Evolution,Slot,"December, 2021",11,$0.63,$0.65,0.04,0.0,0.02,0.02,0.00%
,,"4,012",Spell Of Odin,Oddsworks,Slot,"September, 2022",14,$0.80,$0.51,0.07,0.0,0.02,0.02,0.00%
,,"4,013",Wild Storm Legionnaire,Oddsworks,Slot,"October, 2024",17,$1.02,$0.81,0.02,0.0,0.02,0.02,0.00%
,,"4,014",Panda Money,Evolution,Slot,"September, 2024",17,$1.85,$1.09,0.02,0.0,0.02,0.02,0.00%
,,"4,015",Midnight Romance,Evolution,Slot,"January, 2025",27,$1.21,$1.02,0.02,0.0,0.02,0.02,0.00%
,,"4,016",1 2 3 Bingo,Greentube,Bingo/Keno,"March, 2023",4,$1.24,$0.84,0.05,0.0,0.02,0.02,0.00%
,,"4,017",Fishermans Bounty,Aristocrat,Slot,"April, 2024",9,$0.86,$1.00,0.04,0.0,0.02,0.02,0.00%
,,"4,018",Founding Fortunes Wins,High 5 Games,Slot,"June, 2023",12,$2.44,$0.84,0.02,0.0,0.02,0.02,0.00%
,,"4,019",Gates Of Babylon,Kalamba Games,Slot,"June, 2023",6,$2.51,$1.16,0.02,0.0,0.02,0.02,0.00%
,,"4,020",Quarterback Fields Of Glory,Crucible Gaming,Slot,"September, 2024",14,$2.35,$1.06,0.02,0.0,0.02,0.02,0.00%
,,"4,021",Leprechaun Goes Wild,Play N Go,Slot,"November, 2022",11,$0.95,$0.77,0.03,0.0,0.02,0.02,0.00%
,,"4,022",Great Guardians,Konami,Slot,"March, 2021",11,$1.83,$1.58,0.02,0.0,0.02,0.02,0.00%
,,"4,023",Blazing Planets,Spinberry,Slot,"August, 2023",7,$0.92,$0.85,0.03,0.0,0.02,0.02,0.00%
,,"4,024",Story Of Odin,Spinomenal,Slot,"April, 2025",2,$1.55,$1.55,0.02,0.0,0.02,0.02,0.00%
,,"4,025",Torros Gold,Aristocrat,Slot,"June, 2022",6,$0.71,$0.74,0.06,0.0,0.02,0.02,0.00%
,,"4,026",Gems Up,Konami,Slot,"September, 2022",5,$1.68,$1.51,0.02,0.0,0.02,0.02,0.00%
,,"4,027",Ben Hur,Ainsworth,Slot,"July, 2022",6,$2.25,$1.00,0.01,0.0,0.02,0.02,0.00%
,,"4,028",Prospector Wilds Hold And Win,1x2 Network,Slot,"February, 2025",5,$2.25,$1.76,0.01,0.0,0.02,0.02,0.00%
,,"4,029",Ice Heist,Igt,Slot,"August, 2023",18,$1.87,$0.93,0.02,0.0,0.02,0.02,0.00%
,,"4,030",Bingo Staxx Amazon Fury,Greentube,Bingo/Keno,"July, 2023",9,$1.24,$1.24,0.03,0.0,0.02,0.01,0.00%
,,"4,031",Gerards Gambit,Play N Go,Slot,"April, 2024",18,$0.73,$0.57,0.04,0.0,0.02,0.02,0.00%
,,"4,032",Pimped,Play N Go,Slot,"November, 2022",3,$1.38,$1.65,0.01,0.0,0.02,0.02,0.00%
,,"4,033",Great American Wilds,Greentube,Slot,"September, 2021",16,$1.38,$1.22,0.02,0.0,0.02,0.02,0.00%
,,"4,034",Merlin Realm Of Charm,Play N Go,Slot,"September, 2024",6,$1.92,$1.15,0.02,0.0,0.02,0.02,0.00%
,,"4,035",Wild Honoluloot,Design Works Gaming,Slot,"March, 2023",7,$0.87,$0.96,0.04,0.0,0.02,0.02,0.00%
,,"4,036",Sky Ball Winning Wall,Incredible Technologies,Slot,"January, 2024",12,$1.55,$1.32,0.02,0.0,0.02,0.02,0.00%
,,"4,037",Jade King,Aristocrat,Slot,"March, 2023",7,$1.31,$1.19,0.03,0.0,0.02,0.02,0.00%
,,"4,038",X Wild X,Bragg Gaming Group,Slot,"February, 2022",15,$1.11,$1.03,0.02,0.0,0.02,0.02,0.00%
,,"4,039",Great Book Of Magic Deluxe,Wazdan,Slot,"June, 2023",9,$0.99,$0.85,0.06,0.0,0.02,0.02,0.00%
,,"4,040",King Of The Trident Deluxe,Aristocrat,Slot,"July, 2022",7,$1.24,$0.97,0.03,0.0,0.02,0.02,0.00%
,,"4,041",Smooth Sailing,Games Global,Slot,"November, 2021",10,$1.29,$1.29,0.02,0.0,0.02,0.02,0.00%
,,"4,042",Upshot Prosperity Rising,Incredible Technologies,Slot,"January, 2025",17,$1.41,$1.29,0.02,0.0,0.02,0.02,0.00%
,,"4,043",Space Spins,Wazdan,Slot,"June, 2023",6,$1.50,$1.24,0.04,0.0,0.02,0.02,0.00%
,,"4,044",Temple Of Medusa,Games Global,Slot,"December, 2021",10,$1.11,$0.92,0.03,0.0,0.02,0.02,0.00%
,,"4,045",Defenders Of Asgard,High 5 Games,Slot,"February, 2022",8,$3.40,$0.87,0.04,0.0,0.02,0.02,0.00%
,,"4,046",Into The Storm,Light & Wonder,Slot,"August, 2022",11,$1.96,$1.14,0.02,0.0,0.02,0.02,0.00%
,,"4,047",Rise Of The Tiger,Ainsworth,Slot,"June, 2023",5,$2.58,$2.14,0.01,0.0,0.02,0.02,0.00%
,,"4,048",Good Old 7s,Evolution,Slot,"December, 2024",16,$0.62,$0.52,0.05,0.0,0.02,0.02,0.00%
,,"4,049",Cossacks The Wild Hunt,Games Global,Slot,"January, 2022",10,$5.57,$1.78,0.01,0.0,0.02,0.02,0.00%
,,"4,050",Multi Rise Video Poker Bonus Deluxe,Oddsworks,Video Poker,"October, 2023",2,$2.83,$2.83,0.02,0.0,0.02,0.01,0.00%
,,"4,051",Hot Joker 4 Ways,Inspired,Slot,"November, 2021",7,$1.60,$0.89,0.02,0.0,0.02,0.02,0.00%
,,"4,052",Castle Of Terror,Evolution,Slot,"March, 2023",20,$4.77,$1.81,0.01,0.0,0.02,0.02,0.00%
,,"4,053",West Journey Treasure Hunt,High 5 Games,Slot,"March, 2021",7,$1.34,$1.19,0.03,0.0,0.02,0.02,0.00%
,,"4,054",Arena Of Gold,Games Global,Slot,"August, 2021",15,$1.26,$0.97,0.05,0.0,0.02,0.02,0.00%
,,"4,055",Noble 7s,Games Global,Slot,"August, 2024",8,$0.83,$0.74,0.01,0.0,0.02,0.02,0.00%
,,"4,056",Pot O Gold,Aristocrat,Slot,"June, 2022",10,$1.06,$0.86,0.06,0.0,0.02,0.02,0.00%
,,"4,057",Ave Caesar,Oddsworks,Slot,"August, 2022",13,$1.52,$0.91,0.02,0.0,0.02,0.02,0.00%
,,"4,058",Mega Multi Diamonds,High 5 Games,Slot,"November, 2022",12,$1.12,$1.12,0.03,0.0,0.02,0.02,0.00%
,,"4,059",Tiki Mania,Games Global,Slot,"August, 2021",11,$0.71,$0.52,0.05,0.0,0.02,0.02,0.00%
,,"4,060",Mysteries Of Egypt,Red Rake Gaming,Slot,"July, 2025",3,$1.51,$1.78,0.04,0.0,0.02,0.02,0.00%
,,"4,061",Soldier Of Rome,Light & Wonder,Slot,"March, 2021",6,$1.63,$0.87,0.03,0.0,0.02,0.02,0.00%
,,"4,062",Neon Pyramid,Inspired,Slot,"March, 2021",8,$1.84,$0.53,0.06,0.0,0.02,0.02,0.00%
,,"4,063",Smash Nudge Skillstar,Light & Wonder,Slot,"December, 2023",24,$1.37,$1.07,0.02,0.0,0.01,0.02,0.00%
,,"4,064",House Of Doom,Play N Go,Slot,"July, 2023",2,$0.69,$0.69,0.04,0.0,0.01,0.02,0.00%
,,"4,065",Infinity Hero,Wazdan,Slot,"June, 2023",8,$2.08,$1.65,0.04,0.0,0.01,0.02,0.00%
,,"4,066",Dragon Drum,Ainsworth,Slot,"January, 2023",8,$4.10,$1.76,0.02,0.0,0.01,0.02,0.00%
,,"4,067",From Dusk Till Dawn,Greentube,Slot,"January, 2022",7,$1.15,$1.00,0.03,0.0,0.01,0.02,0.00%
,,"4,068",The Race Megaways,Evolution,Slot,"June, 2023",8,$1.86,$1.69,0.02,0.0,0.01,0.02,0.00%
,,"4,069",Hot Hot Balloons,Spearhead Studios,Slot,"September, 2024",3,$5.78,$1.86,0.02,0.0,0.01,0.02,0.00%
,,"4,070",20 Celestial Fruits,Bragg Gaming Group,Slot,"March, 2025",14,$1.21,$1.22,0.02,0.0,0.01,0.02,0.00%
,,"4,071",Gem Heat,Playtech,Slot,"August, 2021",4,$1.42,$0.94,0.04,0.0,0.01,0.02,0.00%
,,"4,072",Legends Of Troy Achilles Glory,High 5 Games,Slot,"May, 2025",3,$2.40,$1.19,0.01,0.0,0.01,0.02,0.00%
,,"4,073",Robin Hoods Heroes,Games Global,Slot,"August, 2023",7,$1.11,$0.85,0.03,0.0,0.01,0.02,0.00%
,,"4,074",Happy Riches,Evolution,Slot,"September, 2024",20,$1.35,$0.99,0.02,0.0,0.01,0.02,0.00%
,,"4,075",Tesla Jolt,Evolution,Slot,"April, 2025",15,$1.11,$0.83,0.02,0.0,0.01,0.02,0.00%
,,"4,076",King Of Alexandria Mega Moolah,Games Global,Slot,"January, 2025",12,$0.88,$0.68,0.03,0.0,0.01,0.02,0.00%
,,"4,077",Mad Moose Megaways,Pixiu Gaming,Slot,"January, 2025",2,$0.64,$0.64,0.05,0.0,0.01,0.02,0.00%
,,"4,078",Dragons Legacy,Bragg Gaming Group,Slot,"March, 2023",12,$1.77,$1.36,0.02,0.0,0.01,0.02,0.00%
,,"4,079",Wildfire,Slotmill,Slot,"June, 2024",4,$0.97,$0.79,0.04,0.0,0.01,0.02,0.00%
,,"4,080",Wicked Tales Dark Red,Games Global,Slot,"August, 2021",11,$1.66,$1.21,0.03,0.0,0.01,0.02,0.00%
,,"4,081",Jewelling Diamonds,1x2 Network,Slot,"June, 2025",4,$1.08,$1.04,0.02,0.0,0.01,0.02,0.00%
,,"4,082",Derby Wheel,Play N Go,Slot,"February, 2023",2,$0.72,$0.72,0.03,0.0,0.01,0.02,0.00%
,,"4,083",Prince Of The Night,High 5 Games,Slot,"October, 2021",2,$2.87,$2.87,0.01,0.0,0.01,0.02,0.00%
,,"4,084",The Wild 3,Light & Wonder,Slot,"March, 2021",8,$0.91,$0.95,0.04,0.0,0.01,0.02,0.00%
,,"4,085",Great Blue,Playtech,Slot,"August, 2021",6,$1.07,$0.61,0.08,0.0,0.01,0.02,0.00%
,,"4,086",Santa Vs Rudolf,Evolution,Slot,"November, 2024",26,$0.89,$0.75,0.04,0.0,0.01,0.02,0.00%
,,"4,087",Super Lucky Frog,White Hat Studios,Slot,"August, 2022",4,$1.37,$1.07,0.02,0.0,0.01,0.02,0.00%
,,"4,088",Treasure Spirits Dragon,Ainsworth,Slot,"March, 2023",4,$1.81,$1.84,0.02,0.0,0.01,0.02,0.00%
,,"4,089",Lucky Lamp,Aristocrat,Slot,"September, 2024",10,$2.30,$1.01,0.03,0.0,0.01,0.02,0.00%
,,"4,090",Feather Of The Nile,High 5 Games,Slot,"November, 2021",12,$3.01,$0.81,0.03,0.0,0.01,0.02,0.00%
