Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,"2,799",River Dragons,Ags,Slot,"March, 2021",27,$2.39,$1.76,0.06,0.1,0.09,0.09,0.00%
,,"2,800",Donuts,Evolution,Slot,"March, 2021",25,$0.52,$0.39,0.64,0.1,0.09,0.09,0.00%
,,"2,801",Idol Of Fortune,Play N Go,Slot,"July, 2023",2,$0.76,$0.76,0.11,0.1,0.09,0.09,0.00%
,,"2,802",The Golden Grand,Design Works Gaming,Instant Win,"December, 2021",20,$1.13,$0.99,0.17,0.1,0.09,0.16,0.00%
,,"2,803",Monopoly Big Event,Light & Wonder,Slot,"March, 2021",7,$2.67,$2.11,0.10,0.1,0.09,0.09,0.00%
,,"2,804",Happy Lucky,Bragg Gaming Group,Slot,"October, 2023",14,$1.35,$1.19,0.11,0.1,0.09,0.09,0.00%
,,"2,805",Maya Gold,Igt,Slot,"March, 2021",10,$3.03,$1.50,0.06,0.1,0.09,0.09,0.00%
,,"2,806",Piggi Bank,Aristocrat,Slot,"February, 2025",2,$2.07,$2.07,0.11,0.1,0.09,0.09,0.00%
,,"2,807",Treats Of Terror,Play N Go,Slot,"June, 2025",4,$0.71,$0.73,0.19,0.1,0.08,0.09,0.00%
,,"2,808",Narcos Mexico,Evolution,Slot,"April, 2023",20,$2.06,$1.27,0.09,0.1,0.08,0.09,0.00%
,,"2,809",Easy Gold,Evolution,Slot,"February, 2025",25,$0.95,$0.83,0.16,0.1,0.08,0.09,0.00%
,,"2,810",Jokers Wacky Wilds Pays Both Ways,Games Global,Slot,"April, 2024",13,$1.18,$0.74,0.09,0.1,0.08,0.09,0.00%
,,"2,811",Legacy Of Gems Blitzways,Play N Go,Slot,"April, 2025",22,$0.89,$0.81,0.16,0.1,0.08,0.09,0.00%
,,"2,812",European Roulette Vip,Igt,Table Game,"October, 2025",15,$35.16,$27.56,0.02,0.1,0.08,0.03,0.00%
,,"2,813",Golden Wolves,Konami,Slot,"March, 2021",7,$1.44,$1.40,0.11,0.1,0.08,0.09,0.00%
,,"2,814",Jokers Royal Riches,High 5 Games,Slot,"November, 2024",25,$2.31,$1.78,0.09,0.1,0.08,0.09,0.00%
,,"2,815",Roman Tribune,Konami,Slot,"September, 2022",15,$1.21,$0.96,0.15,0.1,0.08,0.09,0.00%
,,"2,816",Shes A Rich Girl,Igt,Slot,"March, 2021",22,$1.08,$0.73,0.21,0.1,0.08,0.09,0.00%
,,"2,817",Wild Unicorns,Evolution,Slot,"November, 2023",10,$3.74,$2.92,0.06,0.1,0.08,0.09,0.00%
,,"2,818",El Dorado,Everi,Slot,"April, 2021",4,$2.03,$1.32,0.08,0.1,0.08,0.09,0.00%
,,"2,819",Pop,Evolution,Slot,"July, 2021",17,$1.32,$1.06,0.24,0.1,0.08,0.09,0.00%
,,"2,820",Jacks Haunted Wins,Aruze,Slot,"October, 2023",6,$1.20,$1.14,0.23,0.1,0.08,0.09,0.00%
,,"2,821",Super Cash Drop Deluxe,Bang Bang Games,Slot,"June, 2024",10,$1.44,$1.26,0.17,0.1,0.08,0.09,0.00%
,,"2,822",San Xing Riches,Igt,Slot,"April, 2025",22,$1.17,$0.88,0.11,0.1,0.08,0.09,0.00%
,,"2,823",Sugar Rush Fever,Ruby Play,Slot,"January, 2025",5,$1.63,$1.20,0.06,0.1,0.08,0.09,0.00%
,,"2,824",Guss Gold Megaways,Igt,Slot,"April, 2024",22,$1.56,$1.29,0.17,0.1,0.08,0.09,0.00%
,,"2,825",Multi Rise Video Poker Double Bonus Deuces,Oddsworks,Video Poker,"October, 2023",3,$2.55,$2.34,0.10,0.2,0.08,0.06,0.00%
,,"2,826",Wild Party Jokers,Inspired,Slot,"April, 2024",5,$0.85,$0.73,0.18,0.1,0.08,0.09,0.00%
,,"2,827",Fire Joker,Play N Go,Slot,"November, 2022",24,$0.86,$0.74,0.14,0.1,0.08,0.09,0.00%
,,"2,828",Wild Wild Emerald,Aristocrat,Slot,"April, 2024",7,$1.70,$1.44,0.15,0.1,0.08,0.09,0.00%
,,"2,829",Phoenix Fury,Bragg Gaming Group,Slot,"October, 2023",14,$2.60,$1.76,0.05,0.1,0.08,0.09,0.00%
,,"2,830",Gemix,Play N Go,Slot,"November, 2022",20,$1.99,$0.76,0.09,0.1,0.08,0.09,0.01%
,,"2,831",Magnificent Power Bastet,Games Global,Slot,"February, 2025",16,$1.29,$1.22,0.12,0.1,0.08,0.09,0.00%
,,"2,832",Immortal Ways Sweet Coin,Ruby Play,Slot,"January, 2025",5,$1.63,$1.27,0.12,0.1,0.08,0.09,0.00%
